artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
James Taylor|spotify:artist:0vn7UBvSQECKJm2817Yf1P|Fire and Rain - 2019 Remaster|spotify:track:1oht5GevPN9t1T3kG1m1GO|203613|74|2021-04-15T18:11:19.291Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Breaking All The Rules|spotify:track:6ItRcZaLxV5oSSJyhbwFkj|425840|55|2021-04-15T18:07:55.192Z
Bad Company|spotify:artist:5AEG63ajney2BoDXi0Vb84|Feel like Makin' Love - 2015 Remaster|spotify:track:3KPwt1LBpt1jVSHz8GXERo|313840|69|2021-04-15T18:00:48.871Z
Carole King|spotify:artist:319yZVtYM9MBGqmSQnMyY6|It's Too Late|spotify:track:12q3V8ShACq2PSWINMc2rC|233173|70|2021-04-15T17:55:34.556Z
Eagles|spotify:artist:0ECwFtbIWEVNwjlrfc6xoL|One of These Nights - 2013 Remaster|spotify:track:608xszaAxVh4m7NcKJiAbF|291685|72|2021-04-15T17:51:40.858Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Pride and Joy|spotify:track:1a2iF9XymafjRk56q7oCxo|219586|68|2021-04-15T17:46:48.694Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Show Me The Way|spotify:track:6BD1X1PeV5UzYUdiVaD2yL|243266|68|2021-04-15T17:43:08.693Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|I'm In You|spotify:track:03zB9duFz1JqLxAIYvGdac|250000|50|2021-04-15T17:36:05.227Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Do You Feel Like We Do - Live|spotify:track:0qqRwBkq7oWv6QnIRLfQKe|826813|51|2021-04-15T17:31:54.773Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Takin' It to the Streets|spotify:track:1WDgdCoNSN0fosaTaLGXKU|231600|57|2021-04-15T16:03:37.532Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Black Water|spotify:track:4p8QcNkaq2FQj8uGJ7HEDK|255266|64|2021-04-15T15:59:45.463Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|China Grove|spotify:track:7cy1bEJV6FCtDaYpsk8aG6|195306|68|2021-04-15T15:55:29.719Z
